"Species","Longitude","Latitude"
"Leopardus_wiedii",-76.78161,0.86625
"Leopardus_wiedii",-72.749829,11.198942
"Leopardus_wiedii",-76.17905,4.77114
"Leopardus_wiedii",-73.83508,3.8332
"Leopardus_wiedii",-74.74111,1.37167
"Leopardus_wiedii",-76.33931,1.80103
"Leopardus_wiedii",-74.64575,0.29803
"Leopardus_wiedii",-75.24589,4.66211
"Leopardus_wiedii",-74.955778,6.073833
"Leopardus_wiedii",-72.38553,5.52125
"Leopardus_wiedii",-74.162327,6.231705
"Leopardus_wiedii",-75.026811,10.74975
"Leopardus_wiedii",-76.80724,3.60646
"Leopardus_wiedii",-75.288644,7.159911
"Leopardus_wiedii",-75.133228,9.935317
"Leopardus_wiedii",-75.5798,6.2231
"Leopardus_wiedii",-73.773022,6.618518
"Leopardus_wiedii",-77.0811,4.03986
"Leopardus_wiedii",-76.939444,6.866389
"Leopardus_wiedii",-76.17759,7.98454
