Species,Longitude,Latitude
Leopardus weidii,-105.29417,20.466149
Leopardus weidii,-78.93114,0.172965
Leopardus weidii,-72.749829,11.198942
Leopardus weidii,-96.437248,15.916666
Leopardus weidii,-106.149675,23.924268
Leopardus weidii,-89.594335,20.826224
Leopardus weidii,-87.04796,20.798801
Leopardus weidii,-87.725833,21.2125
Leopardus weidii,-69.136494,-12.129122
Leopardus weidii,-87.329042,20.403842
Leopardus weidii,-88.374083,20.195498
Leopardus weidii,-54.083765,-27.036593
Leopardus weidii,-70.696272,-12.355364
Leopardus weidii,-77.384552,-0.52274
Leopardus weidii,-76.068001,-0.756515
Leopardus weidii,-54.520235,-34.773751
Leopardus weidii,-89.823731,16.891738
Leopardus weidii,-53.675734,-32.175887
Leopardus weidii,-75.133228,9.935317
Leopardus weidii,-96.873829,16.124466
Leopardus weidii,-66.01042,-11.135245
Leopardus weidii,-55.741785,-32.064195
Leopardus weidii,-43.165685,-22.231434
Leopardus weidii,-48.684663,-26.135211
Leopardus weidii,-67.788403,-16.387709
Leopardus weidii,-88.505604,14.773994
Leopardus weidii,-88.612718,20.759767
Leopardus weidii,-105.56742,23.751846
Leopardus weidii,-55.344333,-34.715516
Leopardus weidii,-49.315429,-23.157687
Leopardus weidii,-103.487758,18.519604
Leopardus weidii,-54.680829,-34.248532
Leopardus weidii,-88.101492,14.534501
Leopardus weidii,-53.35768,-28.938616
Leopardus weidii,-54.120809,-29.342804
Leopardus weidii,-105.295981,23.277818
Leopardus weidii,-89.253163,21.269228
Leopardus weidii,-91.004901,15.565987
Leopardus weidii,-80.482091,-2.126868
Leopardus weidii,-53.902366,-34.439711
Leopardus weidii,-87.165516,14.256135
Leopardus weidii,-79.818806,-2.388881
Leopardus weidii,-76.939444,6.866389
Leopardus weidii,-77.270833,5.7125
Leopardus weidii,-89.882064,15.930093
Leopardus weidii,-84.25204,10.104497
Leopardus weidii,-86.266008,14.354087
Leopardus weidii,-91.235047,17.284743
Leopardus weidii,-73.773022,6.618518
Leopardus weidii,-104.812324,21.346111
Leopardus weidii,-96.560774,17.71491
Leopardus weidii,-53.756287,-29.796463
Leopardus weidii,-74.162327,6.231705
Leopardus weidii,-50.98594,-29.674172
Leopardus weidii,-96.84054,19.278601
Leopardus weidii,-79.784168,9.143421
Leopardus weidii,-76.27686,0.51489
Leopardus weidii,-73.558073,7.07491
Leopardus weidii,-52.93944,5.10866
Leopardus weidii,-52.51849,3.94175
Leopardus weidii,-72.38553,5.52125
Leopardus weidii,-99.007557,18.414261
Leopardus weidii,-75.85139,1.51694
Leopardus weidii,-92.02755,17.602358
Leopardus weidii,-76.78161,0.86625
Leopardus weidii,-103.414708,20.769195
Leopardus weidii,-104.297527,19.597241
Leopardus weidii,-75.288644,7.159911
Leopardus weidii,-76.17905,4.77114
Leopardus weidii,-54.152747,-32.384678
Leopardus weidii,-87.118549,15.45105
Leopardus weidii,-69.60135,-2.19831
Leopardus weidii,-75.06614,5.52256
Leopardus weidii,-74.74111,1.37167
Leopardus weidii,-99.212059,20.868804
Leopardus weidii,-89.453374,14.311335
Leopardus weidii,-74.64575,0.29803
Leopardus weidii,-85.540378,9.877264
Leopardus weidii,-93.4828,15.884648
Leopardus weidii,-90.43891,19.738221
Leopardus weidii,-99.974894,21.253732
Leopardus weidii,-75.712245,4.699401
Leopardus weidii,-75.5798,6.2231
Leopardus weidii,-100.041793,19.211186
Leopardus weidii,-74.955778,6.073833
Leopardus weidii,-75.71028,4.09019
Leopardus weidii,-91.109958,19.040135
Leopardus weidii,-76.836386,-0.779345
Leopardus weidii,-93.587797,16.328585
Leopardus weidii,-100.580656,19.280979
Leopardus weidii,-89.141853,20.258015
Leopardus weidii,-76.17759,7.98454
Leopardus weidii,-77.244167,8.121389
Leopardus weidii,-92.904795,15.729877
Leopardus weidii,-54.759722,-30.225833
Leopardus weidii,-51.454583,-30.397
Leopardus weidii,-93.553749,16.960988
Leopardus weidii,-76.80724,3.60646
Leopardus weidii,-97.990959,17.642262
Leopardus weidii,-76.33931,1.80103
Leopardus weidii,-98.953611,22.226389
Leopardus weidii,-73.83508,3.8332
Leopardus weidii,-77.0811,4.03986
Leopardus weidii,-39.886944,-18.602778
Leopardus weidii,-96.698527,17.183054
Leopardus weidii,-96.06856,17.27929
Leopardus weidii,-75.24589,4.66211
Leopardus weidii,-95.12225,18.585833
Leopardus weidii,-83.01437,8.403131
Leopardus weidii,-104.008794,21.164156
Leopardus weidii,-82.322205,8.746012
Leopardus weidii,-55.18443,4.9517
Leopardus weidii,-84.7109,10.4373
Leopardus weidii,-52.21696,4.56776
Leopardus weidii,-106.618736,23.650038
Leopardus weidii,-54.142244,-30.202969
Leopardus weidii,-98.066581,20.233
Leopardus weidii,-98.088403,22.767791
Leopardus weidii,-96.584929,19.848233
Leopardus weidii,-87.23185,21.291201
Leopardus weidii,-75.026811,10.74975
Leopardus weidii,-95.78051,16.91792
Leopardus weidii,-69.73361,-1.34939
Leopardus weidii,-90.826678,16.159395
Leopardus weidii,-88.926052,17.064606
Leopardus weidii,-80.662166,-1.406558
Leopardus weidii,-98.578069,20.651139
Leopardus weidii,-105.573549,22.669897
Leopardus weidii,-105.97455,23.31942
Leopardus weidii,-74.313752,7.68114
Leopardus weidii,-88.138363,20.59534
Leopardus weidii,-75.87234,6.99179
