"Species","Longitude","Latitude"
"Mazama_rufina",-72.6765,7.34308
"Mazama_rufina",-72.66231,7.35447
"Mazama_rufina",-72.68331,7.33289
"Mazama_rufina",-72.6875,7.32553
"Mazama_rufina",-72.44389,7.42528
"Mazama_rufina",-72.36483,7.29875
"Mazama_rufina",-72.37283,7.2953
"Mazama_rufina",-72.49189,7.46147
"Mazama_rufina",-72.23408,7.20297
"Mazama_rufina",-72.5375,7.48117
"Mazama_rufina",-72.10783,7.11925
"Mazama_rufina",-72.34972,7.38722
"Mazama_rufina",-72.51392,7.44614
"Mazama_rufina",-72.46569,7.389
"Mazama_rufina",-72.46761,7.43103
"Mazama_rufina",-72.69512,7.02244
"Mazama_rufina",-72.81455,7.34743
