"Species","Longitude","Latitude"
"Mazama_rufina",-73.07619,5.98614
"Mazama_rufina",-76.046944,3.535
"Mazama_rufina",-76.224194,1.71725
"Mazama_rufina",-75.5522,4.4811
"Mazama_rufina",-75.389111,4.976722
"Mazama_rufina",-75.210472,5.400797
"Mazama_rufina",-76.38493,2.37584
"Mazama_rufina",-72.674083,5.676722
"Mazama_rufina",-77.44666,1.16616
"Mazama_rufina",-75.7113,1.4934
"Mazama_rufina",-73.423472,4.817468
"Mazama_rufina",-73.8751,4.716
"Mazama_rufina",-76.896083,1.535472
"Mazama_rufina",-76.07475,5.2155
