Species,Longitude,Latitude
Mazama rufina,-77.85676,-0.317396
Mazama rufina,-78.668059,0.145092
Mazama rufina,-73.07619,5.98614
Mazama rufina,-78.208505,0.214026
Mazama rufina,-78.419785,-0.290045
Mazama rufina,-76.046944,3.535
Mazama rufina,-76.224194,1.71725
Mazama rufina,-75.5522,4.4811
Mazama rufina,-75.389111,4.976722
Mazama rufina,-79.583695,-3.573981
Mazama rufina,-75.210472,5.400797
Mazama rufina,-76.38493,2.37584
Mazama rufina,-72.674083,5.676722
Mazama rufina,-69.58877,-2.19829
Mazama rufina,-79.124461,-4.411251
Mazama rufina,-78.559984,-1.255865
Mazama rufina,-77.44666,1.16616
Mazama rufina,-75.7113,1.4934
Mazama rufina,-73.423472,4.817468
Mazama rufina,-73.8751,4.716
Mazama rufina,-76.896083,1.535472
Mazama rufina,-76.07475,5.2155
Mazama rufina,-79.170416,-2.883737
