"Species","Longitude","Latitude"
"Tremarctos_ornatus",-72.917033,7.65063
"Tremarctos_ornatus",-72.92025,7.646
"Tremarctos_ornatus",-72.4655,7.4305
"Tremarctos_ornatus",-72.4642,7.4296
"Tremarctos_ornatus",-72.4653,7.4333
"Tremarctos_ornatus",-72.3376,7.3259
"Tremarctos_ornatus",-72.326,7.3288
"Tremarctos_ornatus",-72.465,7.4303
"Tremarctos_ornatus",-72.3311,7.3274
"Tremarctos_ornatus",-72.3292,7.3285
"Tremarctos_ornatus",-72.3228,7.32
"Tremarctos_ornatus",-72.4659,7.4343
"Tremarctos_ornatus",-72.4655,7.4338
"Tremarctos_ornatus",-72.443889,7.425278
"Tremarctos_ornatus",-72.233056,7.122778
"Tremarctos_ornatus",-72.707695,7.120172
